id,parent_id/id,code,name,iva_affected,tax_category,internet_available,active
l10n_cl_partner_activity_01,,,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",not,nd,1,1
l10n_cl_partner_activity_02,l10n_cl_partner_activity_01,,CULTIVO DE PLANTAS NO PERENNES ,not,nd,1,1
l10n_cl_partner_activity_03,l10n_cl_partner_activity_02,11101,CULTIVO DE TRIGO ,yes,1,1,1
l10n_cl_partner_activity_04,l10n_cl_partner_activity_02,11102,CULTIVO DE MAÍZ ,yes,1,1,1
l10n_cl_partner_activity_05,l10n_cl_partner_activity_02,11103,CULTIVO DE AVENA ,yes,1,1,1
l10n_cl_partner_activity_06,l10n_cl_partner_activity_02,11104,CULTIVO DE CEBADA ,yes,1,1,1
l10n_cl_partner_activity_07,l10n_cl_partner_activity_02,11105,"CULTIVO DE OTROS CEREALES (EXCEPTO TRIGO, MAÍZ, AVENA Y CEBADA) ",yes,1,1,1
l10n_cl_partner_activity_08,l10n_cl_partner_activity_02,11106,CULTIVO DE POROTOS ,yes,1,1,1
l10n_cl_partner_activity_09,l10n_cl_partner_activity_02,11107,CULTIVO DE LUPINO ,yes,1,1,1
l10n_cl_partner_activity_10,l10n_cl_partner_activity_02,11108,CULTIVO DE OTRAS LEGUMBRES (EXCEPTO POROTOS Y LUPINO) ,yes,1,1,1
l10n_cl_partner_activity_11,l10n_cl_partner_activity_02,11109,CULTIVO DE SEMILLAS DE RAPS ,yes,1,1,1
l10n_cl_partner_activity_12,l10n_cl_partner_activity_02,11110,CULTIVO DE SEMILLAS DE MARAVILLA (GIRASOL) ,yes,1,1,1
l10n_cl_partner_activity_13,l10n_cl_partner_activity_02,11111,"CULTIVO DE SEMILLAS DE CEREALES, LEGUMBRES Y OLEAGINOSAS (EXCEPTO SEMILLAS DE RAPS Y MARAVILLA) ",yes,1,1,1
l10n_cl_partner_activity_14,l10n_cl_partner_activity_02,11200,CULTIVO DE ARROZ ,yes,1,1,1
l10n_cl_partner_activity_15,l10n_cl_partner_activity_02,11301,CULTIVO DE PAPAS ,yes,1,1,1
l10n_cl_partner_activity_16,l10n_cl_partner_activity_02,11302,CULTIVO DE CAMOTES ,yes,1,1,1
l10n_cl_partner_activity_17,l10n_cl_partner_activity_02,11303,CULTIVO DE OTROS TUBÉRCULOS (EXCEPTO PAPAS Y CAMOTES) ,yes,1,1,1
l10n_cl_partner_activity_18,l10n_cl_partner_activity_02,11304,CULTIVO DE REMOLACHA AZUCARERA ,yes,1,1,1
l10n_cl_partner_activity_19,l10n_cl_partner_activity_02,11305,CULTIVO DE SEMILLAS DE HORTALIZAS ,yes,1,1,1
l10n_cl_partner_activity_20,l10n_cl_partner_activity_02,11306,CULTIVO DE HORTALIZAS Y MELONES  ,yes,1,1,1
l10n_cl_partner_activity_21,l10n_cl_partner_activity_02,11400,CULTIVO DE CAÑA DE AZÚCAR ,yes,1,1,1
